,,,0.999352048,1.216113097,5.5512,,0.084973966,0.744386874
Row Labels,Sum of sales_sum,,,633.708,-50.616,,2.80188919,0
1/2/2015,3703201.243,3703201.243,,324.044,-0.603,,2.510603984,0
1/3/2015,1856767.638,5559968.881,,28802.196,8000.5004,,4.459425601,3.903117151
1/4/2015,1396297.047,7416736.519,,9626.174,2571.7707,,3.983453708,3.410232244
1/5/2015,2794450.182,9273504.157,,9686.492,2565.6042,,3.986166524,3.409189658
1/6/2015,931799.2734,11130271.79,,9775.412,2599.3662,,3.99013507,3.414867467
1/9/2015,1864655.093,12987039.43,,4923.616,1313.4122,,3.692284174,3.118401046
1/10/2015,467282.7797,14843807.07,,76046.816,19127.821,,4.881081035,4.281665499
1/12/2015,2807687.364,16700574.71,,8539.371,1933.7652,,3.931425882,3.28640374
1/13/2015,1874001.927,18557342.35,,8689.321,1999.7432,,3.938985841,3.300974229
1/17/2015,1407145.567,20414109.98,,35705.548,8003.1033,,4.552735703,3.903258423
1/19/2015,938624.2914,22270877.62,,9054.149,2000.2961,,3.956847637,3.301094288
1/23/2015,938896.2954,24127645.26,,36913.058,7717.9766,,4.567180025,3.887503458
1/24/2015,469468.5777,25984412.9,,191427.631,36523.4775,,5.282004625,4.562572121
1/26/2015,469651.2977,27841180.54,,12131.861,2300.7708,,4.083927426,3.361873357
1/27/2015,1883743.723,29697948.17,,24349.822,4640.0184,,4.386495791,3.666519703
1/28/2015,477522.1937,31554715.81,,115875.519,21498.0534,,5.063991692,4.332399137
1/30/2015,1434984.189,33411483.45,,40699.523,7432.6563,,4.609589319,3.871144051
1/31/2015,1439230.021,35268251.09,,13705.729,2481.3446,,4.13690214,3.394687082
2/3/2015,2880442.846,37125018.73,,27662.518,4979.0914,,4.44189171,3.697150099
2/6/2015,4337127.365,38981786.36,,14236.895,2496.4144,,4.153415282,3.397316679
2/7/2015,966052.2074,40838554,,14705.795,2702.7304,,4.167488508,3.431802727
2/8/2015,1932608.263,42695321.64,,44372.067,8114.7287,,4.64710966,3.909274005
2/9/2015,2417082.907,44552089.28,,30015.834,5478.5752,,4.477350415,3.738667627
2/10/2015,484024.4677,46408856.92,,45378.075,8349.5961,,4.656846069,3.921665468
2/14/2015,3391183.434,48265624.55,,61439.43,11394.506,,4.788447178,4.056695501
