"","tweet","asal_tweet","emosi_kakErsya","emosi_kakFarah","emosi_andi"
"0","Kenapa harus bawa wudhu segala kok gak sekalian bilang kalau bakar dupa bisa matiin virus corona","Malang City","marah","marah","marah"
"1","Merdeka dari virus corona","Malang, Jawa Timur","gembira","gembira","gembira"
"2","Presiden Joko Widodo Jokowi mengatakan pandemi virus corona Covid 19 membuat pemerintah melakukan reformasi di berbagai sektor","Malang, Jawa Timur","terkejut","tekejut","terkejut"
"3","Lalu pada tahun 2012 kembali terjadi epidemi dari virus corona jenis baru yakni MERS CoV","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"4","Seperti pandemi SARS pada tahun 2003 lalu yang diakibatkan oleh munculnya virus corona SARS CoV","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"5","Sebab kontribusi masyarakat untuk menjaga kesehatan sangat diperlukan untuk memberantas virus corona di Indonesia","Malang, Jawa Timur","takut","takut","terkejut"
"6","Salah satunya karena dikhawatirkan jenazah tersebut masih dapat menularkan virus Corona","Malang, Jawa Timur","takut","takut","terkejut"
"7","Kirain sedang menghadapi covid 19 ternyata menghadapi panas dalam dan kelaparan toh","","terkejut","terkejut","sedih"
"8","desa tidak ada covid di konoha","Kota Malang, Jawa Timur","gembira","gembira","gembira"
"9","mulai ngerasa tidak sih kayanya covid mulai dilupakan","Malang, Jawa Timur","sedih","sedih","terkejut"
"10","akhirnya aku bener bener parno tentang covid","Malang","takut","takut","takut"
"11","Jadi relawan covid gimana mau di test","Malang, Jawa Timur","marah","marah","marah"
"12","Wah Covid tidak ada rasa sopan","Kota Malang","marah","marah","marah"
"13","pengaruh pandemi covid terhadap kesehatan mental pada remaja yang terjadi di indonesia","Balikpapan-Malang","takut","takut","sedih"
"14","Mampus juga dimakan covid","Malang, Jawa Timur","marah","marah","marah"
"15","2020 Covid datang penghasilan berkurang kerja kurang efektif libur berasa tidak libur panjang tidak bisa liburan","Bogor - Malang","sedih","sedih","sedih"
"16","Eh Di Jepang udah boleh konser min Kan kasus Covid lagi Naik tidak sih di Jepun Apa online concert jadinya","Malang, Indonesia","terkejut","terkejut","terkejut"
"17","Akhirnya ada indomaret sama kopi di dalam tapi kena covid kayaknya akan bubar","Surabaya, Malang","terkejut","terkejut","terkejut"
"18","kamu yakin Covid ini beres tahun depan","Malang, Jawa Timur","marah","marah","marah"
"19","kalo covid rame ya","Malang","terkejut","marah","marah"
"20","himma Bener kan mel Covid 19","Malang, Jawa Timur","terkejut","terkejut","terkejut"
"21","Berjuang memerdekakan indonesia dari covid 19 dengan tetap rebahan di rumah","Malang","sedih","gembira","gembira"
"22","Semoga cepat ada vaksin covid","Malang, Jawa Timur","sedih","sedih","sedih"
"23","andika Sumpah aku setujuu ada covid ini karena bisa mengurangi populasi orang bego kek gini","Malang, Jawa Timur","marah","gembira","gembira"
"24","anjai wkwk ngpmpng-ngomong covid itu bikin luka juga kamu kak tapi di paru-paru jadi tidak keliatan","Kota Malang, East Java","marah","marah","terkejut"
"25","loh Reuni di jaman covid semua","Malang","marah","terkejut","terkejut"
"26","Upacara peringatan HUT Indonesia ke 75 di masa pandemi covid 19","Malang","gembira","gembira","gembira"
"27","KKN versi COVID 19","Malang, Jawa Timur","gembira","gembira","gembira"
"28","Lomba makan krupuk prosedur COVID Harus tetep pake masker","Malang, Jawa Timur","takut","takut","terkejut"
"29","Kenapa pasien berbohong tentang kondisinya Kan bahaya tiba positif covid 19","Malang, Jawa Timur","marah","marah","marah"
"30","Dirgahayu Indonesia Ku semoga dunia segera pulih dr Covid Aamiin Salam dr bendera Gn Lawu aku rindu","Malang","sedih","sedih","gembira"
"31","iya kak tahun ini sepertinya kita harus berjuang dulu merebut kemerdekaan dari covid","Bali-Malang","gembira","sedih","sedih"
"32","Indonesia merdeka dari covid plis","Malang, Jawa Timur","sedih","sedih","sedih"
