,tweet,asal_tweet
0,Kl d tengah keramaian gini membayangkan virus corona beterbangan Kl ga urgent mana mau akutuhh hft,Makassar 
1,Sekarang ini yang masih menjajah kita adalah bangsa kita sendiri dan virus Corona,"Makasar, Indonesia"
2,Emang bener bodol Lagian siapa yang bilang air wudu membunuh virus Corona,"Makassar, Indonesia"
3,Biasakan cuci tangan agar tidak tertular virus corona AyoBiasakanCuciTangan,Makassar
4,Benarkah anti virus corona,Makassar
5,Biasakan cuci tangan agar tidak tertular virus corona AyoBiasakanCuciTangan,"Kota Makassar,Sulawesi Selatan"
6,Di Makassar ada yg bikin status jangankan virus corona polisi pun saya makan trus di tangkap dong sm polisi,"Makassar, Indonesia"
7,CARA MEMAKAI DAN MELEPAS MASKER DENGAN BENAR UNTUK MENCEGAH PENYEBARAN VIRUS CORONA Polri,Makassar
8,Tembus 150 pasien Setelah sekian lama dari kasus covid,Makassar - Indonesia
9,Dirgahayu Indonesia semoga kita semua segera merdeka dri covid 19 Terimksh para Pahlawan alfatiha,"Makassar,Sulawesi Selatan"
10,Setelah 5 bulan vakum main basket gegara covid akhirnya bisa main lg,"Tokyo-to, Japan"
11,Tolak deklarasi Aksi Menyelamatkan Indonesia ditengah Pandemi Covid 19,Makassar
12,Pandemi di gawang disebabkan oleh Covid De Gea,Makassar
13,10 000 orang naik gunung di Bawakaraeng untuk memperingati 17an Kluster covid basis nasionalisme,"Makassar, Indonesia"
14,another sad news sahabat skaligus rekan kerja suami sore tadi meninggal krn covid ikut sedih td pas dikabari,"ÜT: -5.18238,119.434029"
15,Orginasi sekolah dan mahasiswa harus putar otak cari dana dimasa Covid,"Makassar,indonesia"
16,Pemerintah buang2 waktu aja ngitungin pertambahan kasus covid mending alihin fokus ke penindakan yg melanggar protokol covid,MAKASSAR
17,Semoga anak2 i land negatif covid,Kota Makassar
18,Ditambah banyak orang orang yang dengan semakin vokalnya mengatakan bahwa covid itu tidak ada dan hanya permainan uang dan sebagainya,"Makassar, Indonesia"
19,Masih pada takut covid kalii,"Makassar, Indonesia"
20,COVID 19 bisa juga hidup di atas 20 derajat,Makassar
21,Covid di tengah tengahnya,"Makassar, Indonesia"
22,Cocok buat sekolah online siapa tau redmi mau hibahkan beberapa unit di zona merah covid 19 di luar pulau jawa,MAKASSAR
23,Apel Gelar Pasukan penegakan pendisiplinan protokol kesehatan covid 19 Kodim 1406 Wajo,"Wajo, Sulawesi Selatan"
24,Selamat Hari Pramuka Tunjukkan kepedulian dan semangat memberantas Covid 19 haripramuka,"Makassar, Sulawesi Selatan"
25,Kalau gini trosss yang ada ni covid ampe jaman cyberpunk gak bakalan kelar,"Makassar, Indonesia"
26,masih was jalani new normal yg positif covid makin banyak,makassar
27,Sy pikir kalo covid spesifik ke pneumonia bilateral ternyata unilateral juga bisa,
28,Mati karena covid bukan karena terinfeksi tapi karena rasa takutnya akhirnya tidak keluar cari nafkah berujung mati kelaparan,"Byzantium, konstantinopel"
29,Baru tau kalo Teman SD ku kena covid 19 setelah dengar ceritanya yang panjang kali lebar banyak hal yang belum gue tau akhirnya tau juga,"Makassar, Indonesia"
