,tweet,asal_tweet
0,Kenapa harus bawa2 wudhu segala kok gak sekalian bilang kalau bakar dupa bs matiin virus corona,Malang City
1,Merdeka dari virus corona,"Malang, Jawa Timur"
2,Presiden Joko Widodo Jokowi mengatakan pandemi virus corona Covid 19 membuat pemerintah melakukan reformasi di berbagai sektor,"Malang, Jawa Timur"
3,Lalu pada tahun 2012 kembali terjadi epidemi dari virus corona jenis baru yakni MERS CoV,"Malang, Jawa Timur"
4,Seperti pandemi SARS pada tahun 2003 lalu yang diakibatkan oleh munculnya virus corona SARS CoV,"Malang, Jawa Timur"
5,Sebab kontribusi masyarakat untuk menjaga kesehatan sangat diperlukan untuk memberantas virus corona di Indonesia,"Malang, Jawa Timur"
6,Salah satunya karena dikhawatirkan jenazah tersebut masih dapat menularkan virus Corona,"Malang, Jawa Timur"
7,Kirain sedang menghadapi covid 19 tyt menghadapi panas dalam dan kelaparan toh,
8,ds tidak ada covid di konoha,"Kota Malang, Jawa Timur"
9,mulai ngerasa ga sih kayanya covid mulai dilupakan,"Malang, Jawa Timur"
10,akhire aku bener bener parno tentang covid,Malang
11,Jadi relawan covid gmn mau di test,"Malang, Jawa Timur"
12,Wahh Covid ga ada rasa sopan,Kota Malang
13,pengaruh pandemi covid terhadap kesehatan mental pada remaja yang terjadi di indonesia,Balikpapan-Malang 
14,Mampus juga dimakan covid,"Malang, Jawa Timur"
15,2020 Covid datang penghasilan berkurang kerja kurang efektif libur berasa ga libur libur panjang ga bisa liburan,Bogor - Malang
16,Eh Di Jepang udah boleh konser min Kan kasus Covid lagi Naik gak sih di Jepun Apa online concert jadinya,"Malang, Indonesia"
17,Akhir e ada indomaret mbe kopi2an di dlm e tp kena covid kyk e ws buyar,"Surabaya, Malang"
18,Koen yakin a rek Covid Iki beres taun ngarep,"Malang, Jawa Timur"
19,kalo covid rame ya,Malang
20,himma Bener kan mel Covid 19,"Malang, Jawa Timur"
21,Berjuang memerdekakan indonesia dari covid 19 dengan tetap rebahan di rumah,Malang
22,Semoga cepat ada vaksin covid,"Malang, Jawa Timur"
23,and1ka Sumpah aku setujuu ada covid ini krn bisa mengurangi populasi org bego kek gini,"Malang, Jawa Timur"
24,ANJAIII WKWKW btw covid itu bikin luka jg lo kak tp di paru2 jd ga keliatan,"Kota Malang, East Java"
25,lho Reuni di jaman covid al,Malang
26,Upacara peringatan HUT Indonesia ke 75 di masa pandemi covid 19,Malang
27,KKN versi COVID 19,"Malang, Jawa Timur"
28,Lomba makan krupuk prosedur COVID Harus tetep pake masker,"Malang, Jawa Timur"
29,Kenapa pasien berbohong tentang kondisinya Kan bahaya tiba positif covid 19,"Malang, Jawa Timur"
30,Dirgahayu Indonesia Ku semoga dunia segera pulih dr Covid Aamiin Salam dr bendera Gn Lawu aku rindu,Malang
31,iya kak tahun ini sepertinya kita harus berjuang dulu merebut kemerdekaan dari covid,Bali-Malang
32,Indonesia merdeka dari covid plis,"Malang, Jawa Timur"
33,Dirgahayu indonesia yg ke 75 Merdeka Merdeka dari Covid Sehat terus bangsaku,"Malang, Jawa Timur"
34,Ada covid om,"Malang, Jawa Timur"
35,claster baru covid 19 pindah ke lawu,"Malang, Jawa Timur"
36,Uang kaga keluar jadi buronan gugus Covid iya,Malang
37,Berharap ada webinar Cara dan Strategi Deketin Doi di tengah Pandemi Covid 19,"Malang, Jawa Timur"
38,Ada covid nggak tetep g ada lomba apa apa,"Malang, Jawa Timur"
39,Mari rayakan Kemerdekaan Indonesia dengan mentaati protokol kesehatan agar terhindar dari penjajahan Covid 19,"Malang, Jawa Timur"
40,SEMBUHLAH NEGERIKU AKU RINDU NEGERIKU YANG BAR BAR SEPERTI SEBELUM COVID 19 MENYERANG,"Malang, Jawa Timur"
41,Gara covid pasti,"Malang, East Java "
42,nah info palangka yg meinfokan kapuas hinip lalu kalau ai ampih dah kdd cases nya covid dikapuas nih wkwkwk,"Malang, Jawa Timur"
43,Emangnya masih diperbolehkan di masa covid gini,Malang Indonesia
44,KIMTAEHYUNG WeLoveYouJimin CaratsWithSeventeen Covid 19 Simak plis Wajib ritwit,"Malang, Jawa Timur"
45,satrioo Kesuwen paling lek ngenteni covid Wong yo gak ngerti buyare covid iki kapan,Nganjuk - Malang
46,Mulai jengah dengan mulai maraknya pernikahan masa Covid tapi masih mahal juga,"Malang, Jawa Timur"
47,Ben pitek e sehat ora keinfeksi covid,"Kota Malang, Jawa Timur"
48,Serba salah lek oleh undangan kondangan pas musim covid ngene,
49,Tentu tidak kita sedang menghadapi penyakit covid 19 dan penyakit hati Koalisi Aksi MENYAKITI Indonesia,malang
50,Harusnya dibuktikan dengan semakin banyaknya pasien covid yg bisa sembuh dan tingkat kematian yg minim,malang indonesia
51,namakamu Namaku Covid 19,"Malang, Jawa Timur, Indonesia"
52,Iyaa harus Ada Surat bebas covid dan di stasiun malang ada tempat utk rapid tes dgn disertai kode booking,"Kota Malang, Jawa Timur"
53,Kopian sudimoro memang nggak kenal covid ckck,"East Java, Indonesia"
54,ww3 bencana alam covid rasisme annabelle lalu apa lagi 2020 becanda nya g lucu ya,"Kota Malang, Jawa Timur"
55,Oalaah Barca v Munchen kmaren itu laga amal covid toh ternyata wkwkwk,"Malang, Jawa Timur"
56,Covid bersuka ria,"Kota Malang, Jawa Timur"
57,Dukung perangai covid aja dulu KAMItunggangiPandemi,
58,Oiya gaboleh harus yg baik baik Semoga covid hilang agar bisa nongki blakang umm,"Malang, Jawa Timur"
59,Tiati kena covid,"Malang, Jawa Timur"
60,di tp lagi banyak diskon dek Yuk cus sby kangen nge mall berat Covid Oh oke,"Malang, Jawa Timur"
61,mohon info sekarang kalo mau masuk surabaya apakah ada pemeriksaan khusus terkait covid nuwun,Malang 
62,Di stasiun Malang ada fasilitas buat rapid test covid ga ya Ada yg tau Info dong,"Malang, Jawa Timur"
63,haduuu kok onok ae Annabelle escape barang ati2 kon tertular covid bel bel ws bener nde musem pdhl,"Malang, Jawa Timur"
64,retno Lup lup lah buat cinta cintaku ini retno Aku tunggu di Malang kalo covid udah reda,"Malang, Jawa Timur, Indonesia"
65,Ga tau ga tau pusing karna covid astagfirullah,"Malang, Jawa Timur"
66,prakoso Iya mas hari ini tadi pagi Iya mas covid Beliau ada riwayat penyakit lain juga,"Malang, Jawa Timur, Indonesia"
67,alvhin gabisa kesana aku di daerahku ada yang kena covid jadi ikut isolasi diri dulu ini fitria mau kesana juga mau barengan ga,"Malang, Jawa Timur"
68,ning pandean onok sing kenek covid e Gar male isolasi diri pisan aku wedi nulari wong,"Malang, Jawa Timur"
69,Sabar ini ujian covid 19 wkwk,"Kota Malang, Jawa Timur"
70,maaf ya aku fokus ujian dulu Lulus jalur covid ae ngomong ujian,"Malang, Jawa Timur"
71,Covid berdampak sekali pada tukang soto perbatasan gkb,Malang
72,memanfaatkan moment covid untuk mengumpulkan modal amp melatih fokus target harian,"Malang, East Java"
73,Apa bener maem telur aja udah bisa mencegah covid 19 Ayo baca penjelasan diatas ayo lebih kritis lagi dalam menyikapi informasi,"Malang, Jawa Timur"
74,Lagi lagi ada yg positif Kmrn sok sok an covid dah hilang dan sekarang Tambeng amat diberitahu,Malang
75,Hbs liat grup grup di wa Seketika sedi gitu liat project an yg tertunda karena covid,"Malang, Jawa Timur"
76,Gara gara aku salah juga kok ga sepenuhnya karna covid,"Kota Malang, Jawa Timur"
77,Iya kak nanti kalo covid uda kelar ketemuan yuk kak,"Malang, East Java, Indonesia"
78,sebentar lagi akan muncul klaster baru covid klaster wisuda 102,Malang
79,KALAU ADA YANG KENA COVID GIMANA NASIB MEREKA,malang
80,Presiden Joko Widodo menegaskan reformasi fundamental di sektor kesehatan harus dipercepat merespon pandemi Covid 19 yang terjadi saat ini,"Malang, Jawa Timur"
81,Presiden Joko Widodo Jokowi mengatakan pandemi virus corona Covid 19 membuat pemerintah melakukan reformasi di berbagai sektor,"Malang, Jawa Timur"
82,Neni mengatakan persoalan kesehatan atas Covid 19 bukanlah suatu hal yang baru terjadi di masyarakat global,"Malang, Jawa Timur"
83,Pandemi Covid 19 bukanlah suatu konspirasi Jadi kita lihat kejadian pandemi epidemi itu terus berulang sehingga kita harus siap,"Malang, Jawa Timur"
84,Ahli Bantah Pandemi Covid 19 Sebagai Konspirasi IndonesiaMaju BangkitIndonesiaMaju PidatoPresiden2020,"Malang, Jawa Timur"
85,Mekanisme Silence procedure merupakan mekanisme yang digunakan oleh PBB selama pandemi Covid 19,"Malang, Jawa Timur"
86,Presiden Joko Widodo mengapresiasi kinerja Badan Pemeriksa Keuangan BPK di tengah pandemi Covid 19,"Malang, Jawa Timur"
87,Jokowi Apresiasi Kinerja BPK di Tengah Pandemi Covid 19 IndonesiaMaju BangkitIndonesiaMaju PidatoPresiden2020,"Malang, Jawa Timur"
88,Sementara dalam menangani krisis ekonomi pemerintah memberikan bantuan sosial bansos kepada masyarakat yang terdampak pandemi Covid 19,"Malang, Jawa Timur"
89,Ayo bersatu lawan Covid 19,"Malang, Jawa Timur"
90,Masih adakah yang anggap covid itu hanya rekayasa atau konpirasi aja Semoga vaksin segera ter realisasi,"Malang, Jawa Timur"
91,Tapi negativ covid aku tik,malang
92,Sebenar nya dengan momentum Covid ini pelayanan pelayanan bisa dibuat non tatap muka online,Malang
93,Hilmiii Alhamdulilah sehat gimana nanganin covid juga ga,"Malang, Jawa Timur"
94,Sampe kapan sih mikir kalau kena covid semacam kutukan Kalau ada korban ya jgn di Bully dong,"Malang, Jawa Timur"
95,Emang kalau ada yg kena covid 19 Kita jadi musahan terus gabisa berteman,"Malang, Jawa Timur"
96,Masih aja ada manusia yg g percara covid Aku udah ga berani kemana mana lho ini cuk,"Malang, East Java, Indonesia"
97,Namun hingga kini RUU Omnibus Law Cipta Kerja masih saja tetap dimasukkan dalam Prolegnas Senayan dan bahkan ditengah Pandemi Covid 19,Malang
98,27 orang positif covid 19 di kantor pengadilan agama surabaya semoga mama gpp,"Malang, Jawa Timur"
99,Cepat berakhir covid Ku butuh liburan,
100,Bersama kita bisa perangi Covid 19 BUMNPerangiCovid,"Malang, Jawa Timur"
101,yeee garagara covid ini jadi moooondor semoa wkwkwkwk,Malang
102,Brang pd blm dtg kendala covid shit mana pada komplen,"Malang , Jawa Timur"
103,Polanya sama seperti tahun lalu Bedanya tahun ini ada covid tahun lalu ada km,Madiun - Malang
104,Patas malang sby tarif covid 50 000 tapi kapasitas penumpang full hehehehe,"Malang, Jawa Timur"
105,Siap menunggu hasil penanganan covid 19 oleh bapak Luhut tersayang,"Malang, Jawa Timur"
106,Ya allah mari due majikan fanatik covid sak iki due majikan fanatik konspirasi wkwk,"Malang, Jawa Timur"
