,tweet,asal_tweet
0,@__Six_Six_Six__ @jokowi 10 destinasi itulah yg jdi terparah terpapar covid di Indonesia ini..,"Denpasar Selatan, Indonesia"
1,"@collegemenfess semwnjak di rumah, akuga ngikutin info apapun termasuk covid wkwk karena aku merasa jiwaku udah ayem gvamau diganggu hehe",
2,"@Ln1885 Waktu awal2 panik covid, sempet ada yg belanja pake apd 🤦‍♀️",Indonesia
3,@SMinxhozi sa paguhet nje lajm pro covid?,Albania
4,"#COVID_19 Cases in Pakistan and Punjab 
#PunjabCoronavirusUpdate https://t.co/4ewqpXcM4J","Punjab, Pakistan"
5,@Karamoy70014588 Menkes udh kadung jumawa bilang gak ada covid di indonesia..😣,Djakarta
6,@AskiBogere Mbu covid 😂😂😂,
7,"“Belitung aman kok covid ga se-ngeri itu.”

“Ya tp gaada sushi tei.”

OK","Medan, Indonesia"
8,"Covid kalau mai loqstaq,naya pak karim.Tak boleh keluaq cara ni","Brighton, England"
9,covid kontol pokoknya lah,BKS-JKT
10,"Alhamdulilah                         But uni is 
covid 19.                                   Open
free now https://t.co/tAkR8en6ep",Kabhy ho k sajay sedha Fsd✌️
11,Salah satu efek covid-19 --&gt; bapak kos ane nganggur --&gt; dirumah aja --&gt; banyak pikiran --&gt; sering ngelamun --&gt; malam ini kesurupan 😱,"Kota Surabaya, Jawa Timur"
12,@wianggaa @gsatria_ Covid wedi mbek ndekne,Real Madrid
13,Tertemizim...09.00 itibari ile Covid-19 test negatif...,"Essen, Nordrhein-Westfalen"
14,@gsatria_ @rizkirmadhani7 Ndee isih urip gk? Opo keno covid?,
15,"@tubbirfess Ntar tb tb ada testimoni ""Berkat klinik tongfang saya berhasil sembuh dari infeksi covid-19. Terima kasih klinik tongfang""","Bogor, Jawa Barat"
16,"Genge yase Monti ingahambi ke, sizofuna ii Covid free lovers kaloku kwezi braai. 💙",Mdantsane x Bloem
17,"@andihiyat Bang andi, jangan lupa sebelum masuk pake hand sanitizer dulu soalnya masih musim covid.",in indonesia
18,@qishuunn Emg situ tau sesusah apa porsi taun ini? Justru adanya covid malah mkn mempersulit,
19,"Pas akad pake masker. Pas resepsi engga.

Oh iya lupa covid emang datengnya cuma pas akad nikah doang sih ya.",Indonesia
20,@JILLKUI Covid ituachilie tukajiwachilie,Kenya
21,@muhammadryzki_ Jual diri harga promo covid hahaha,Indonesia
22,@sukasusuvanilla pucuk jalur covid tpii wkwkk,West batavia 
23,@BiawakJomblo dia sesak nafas karna positif covid dan phobianya itu btw,"Tangerang, Banten"
24,"@monyetbesar @PRFMnews Ada juga yg lucu ""ketakutan"" ama covid ampe bela-belain di rumah terus, tapi pas keluar ga pake masker wkwk",Bandung
25,"@DraftAnakUnpad Sabar atuh ai km liat kasus covid makin bnyk, nntn mah di tipi aj","Bandung, Indonesia"
26,PAKYU KA COVID GALIT AQ SAU 220 LG8,
27,@Lee12Mp Covid gaya ba tsaya bone baa?,Botswana
28,@SizweDhlomo “Ngsashaya ijika ngyabuya”-COVID,Scranton
29,"@futureipbnesian @infomalang Iyaa harus Ada Surat bebas covid, dan di stasiun malang ada tempat utk rapid tes dgn disertai kode booking....","Kota Malang, Jawa Timur"
30,Haihh bila lah covid ni nak habis hmm,Avocado 
31,"Lah shichan kena covid????
Eh berapa hari lalu kan baru syuting sama zukky???? 😱",Tengah open cafe
32,"covid 19                       : negative

kelaperan jam segini : always 
                                        positive",soon next to kardashian's 
33,@bucinoreoungu Kurang kurangin baca berita tentang covid,unknown
34,Dulu aku rajin sangat skip kelas sebab liat nak bangun pagi last2 kelas online sebab covid wkwkwkwk,stan one ok rock 
35,@assfess Apenih? Covid? 😢,"Kota Bengkulu, Bengkulu"
36,@NatashaN_Phiri @SABCNews Lapho sebaqedile ngemali ye COVID-19,Johannesburg
37,Ini covid 19 udah kaya kentut gua nyebar nya cepet bgt asli.,
38,Kpss ertelensin kpss ertelensin kpss ertelensin kpss ertelensin #Covid_19 #kpssertelensin,
39,@Mzamero_CH Haha ebile kene kere ke go raya kere ako le itshware goo koo bo rra covid e teng ebile ya tshela.,Phuthatswana
40,@TheChaiPau kalo alesannya covid pasti gadibolehin keluar sama sekali tolol,going merry
41,"tdi pas acara tunagan sodar ak banyak ditanyain dah punya pacar blm, ak punya cuma lgi di korea kejebak covid jimin nya jdi gbisa pulang😤",jimin♡
42,Nikikumbuka before covid tukibagein  taim ya kufukuzwa club pale cbd kutoka 4am hadi 5am naskia kuanguka 😂😂😂,"Nairobi, Kenya"
43,"Update perkembangan Covid-19 di Singapura.

Hingga 15 Agustus 2020 Pukul 12.00 Waktu Singapura. via @kbrisingapura https://t.co/F6fzSjWOyB","ÜT: -6.187385,106.733011"
44,"@sofiamfln Ini foto teman2 SMA ku.. 
Udah ada yg punya anak juga. 
Klo skrg ga bisa kumpul2 lagi karena Covid. :( https://t.co/HwebI3wHW0","UKI, Cawang"
45,"@IDNLawanCovid Taat protokol kesehatan supaya selamat dari Covid-19 

#NewNormal #DukungRUUBPIP #IndonesiaMaju",
46,"Tbtb kangen kerja Fulltime, covid cepatlah berlalu.",Indonesia
47,"@IDNLawanCovid Mudah2an Covid-19 bisa hilang dari Indonesia dan seluruh dunia 

#NewNormal #DukungRUUBPIP #IndonesiaMaju",
48,@Artandmiss Covid sahatna f kolchi,"Bouznika, Royaume du Maroc"
49,Penitian pas covid gini dokumentasi yg ditanya pasti😭😭😭,"Lampung, Indonesia"
50,@assfess Lebi baik protes skrg dripada nnti kejadian jdi cluster covid atau penyakit lain...,StaysKingdom
51,@Adam1Lina2 Jat covid shawna biha,  36زنقةقريش حدا قبيلةالشاربان
52,"@IDNLawanCovid Semoga Covid-19 bisa minggat dari Indonesia dan seluruh dunia 

#NewNormal #DukungRUUBPIP #IndonesiaMaju",
53,@guessworkCEO @zonewear_ke Kwani covid imekuaffect aje???!!😂😂😂,"Mombasa, Kenya"
54,Ni di bdg udah gaada covid ato gimana. No mask on 🤨,
55,"@IDNLawanCovid Masker adalah kunci untuk tidak melunarkan dan tidak tertular Covid-19 

#NewNormal #DukungRUUBPIP #IndonesiaMaju",
56,@Jhon9935681487 @Sayutinugr4h4 @ustadtengkuzul masalah buat lo KB PKI CEBONG DONGO COVID 19 MADE IN CHINA,mecca 
57,"@IDNLawanCovid Masker adalah pertahanan terpenting kita melawan Covid-19 

#NewNormal #DukungRUUBPIP #IndonesiaMaju",
58,@haziq_haiqal31 @Ahmdhfz14 @thedayenishy Allahu😂😂😂 nasib covid je,
59,boro2 gue bisa jalan2 mau ada gak ada covid juga gak bakalan gue jalan2 berdua sama dia keluar kota liburan 😢,"Jakarta, Indonesia."
60,@amayyyzingnina_ Eee geramnya kenapa jauh sangat😭😭 still training ke covid ni?,ig - azraaqilah
61,"@alviaans_ Lg covid
Lu ma enak gembel gadisuru balik",Amsterdamned
62,@tempodotco Kalau sudah ada obatnya kenapa protokol covid masih dijalankan?,"Kota Bandung, Jawa Barat"
63,"@republikaonline Penanganan covid 19 diserahkan saja pada yg ahlinya,yaitu para dokter dan pihak medis.",
64,Blah blah blah fighting Covid,"Johannesburg, South Africa"
65,"dibalik orang yang  pada liburan atau nongkong main itu ada orang yang berjuang ngelawan covid, ayo dong hargai perjuangan mereka",
66,"pleaselah turunin egone demi indonesia biar cepet membaik, kasus covid turun dan kalo bisa sampe angka 0",
67,@jladmvv @ramosr_gio @jihyolovs94 @viusf Pprt,roi
68,Peta sebaran Covid-19 di Murung Raya. 15 Agustus 2020 Pukul 15:00 Wib https://t.co/KS5JXGpDlg,"Puruk Cahu, Indonesia"
69,@Cardiopoetica Covid + Jerusalema 😱🤮,
70,Udah mau brp bulan kita so called quarantine kok ya masih narasinya sama “covid is real!!” Sampe skg masih ada yang ga percaya?,On the 탑
71,Fuck la siapa yang spread covid dekat Kedah. Fuck you,"Pinang, Malaysia"
72,Boleh tak langkawi stopkan kejap bawak orang luar masuk🤧 risau la makin ramai orang dengan covid dok merebak seberang laut ja hm,Malaysia
73,oh jd skrg covid nyerang karyawan kantor,
74,"@Wamagaisa kutokanganisa vanhu basa ravo
violating Covid rules","Harare, Zimbabwe"
75,@hadijamel17 @thefarisaiman Apa ni kote kote? Tak baik lah hadi. Nanti dh kena covid jgn lupa kuanrintin. Jgn selfish,
76,kl kek gini terus yauda covid g bkl kelar di indo 🙃🙃,
77,@LintasKebumen Satgas covid kebumen bisa lebih ditingkatkan lagi min penertibannya 🙏,kebumen
78,"LuCu....😆😁😆😄😃😀
Katanya Sudah Menemukan
Obat Penawar Covid-19,
Tapi Kok Yang Positif
Mencapai Record Muri
😁😆😁😆😄😃😀",CronusLand
79,"@TweetSrip_ Awalnya gw dukung2 aj, tp pas berita demonstrasi BLM ga menyebarkan covid, disgust gw sama mereka. Hipokrit",nangulub
80,Dhoni has announced his retirement.Itna dukh toh covid ne 6 mahine mein nahi diya jitna ek second mein Dhoni ne de diya.#mahi 🙏🖤,
81,Ye khana diya ja raha hai sdm referral hospital uda kishunganj bihar ke covid care center. Me. https://t.co/3RK0kGMikZ,
82,@gomezserdadu Tetap dengan protokol covid,"Binangun, Indonesia"
83,Lagi goblok banget lagi covid gini mau 17an rame rame. Mikir anjing. Kalo ada yg kena covid mana mau lu tanggung jawab.,
84,"@aewin86 @tempodotco Oke, berarti menurut lu, obat Covid-19 udah ada ya, karena sudah memberikan kesembuhan.",
85,@ainiisalleh Taktaaaaaau la rasanya tu bukan pasar malam macam dulu (sebelum covid) tu tu cam orang jual sikit2 je en,
86,"semenjak covid udah engga ada yang mau ngadminin akun ini, kasian.",Indonesia
87,@Phyllis_Phyl_ Gon end the Convo like 'ah timangofuna tikupaseni moni... Kumavala mask pokwela madengawo kunja nkwa Covid uku',"Blantyre,Malawi."
88,rindunyaaaaaaaaaa 😭😭😭😭😭😭 p*ndek punya covid,🇲🇾//🇸🇬
89,"@ms_sunshine59 Monane covid nundi baytapadinav 
Ipudu ee risk avsrama adhyaksha",
90,"tadi pagi mencret, trs abis itu ga enak badan, kepala agak pusing, pas ngetio ini tenggorokanku ga enak. takut bgt kalo covid:((","Pati, Indonesia"
91,"Maak, gabisa tidur abis itu baca soal gejala covid yg bsa ga ilang berbulan bulan. Pada jam2 overthinking. Hmm.",021
92,@morgan_covid Follar,
93,@hifxris Inshallah habis covid,Kuching Borneo 
