,tweet,asal_tweet
0,Woow corona virus County media,
1,More dangerous virus than corona virus Corona virus curable,Nittur  Hosanagar Karnataka.
2,HMI DUDUK YANG MANIS DIRUMAH SAJA NANTI TERPAPAR VIRUS CORONA,"Sumatera Utara, Indonesia"
3,virus corona ikut pergi libur panjang COVID19,Clouds Ville
4,za kan seiring datangnya badai virus corona datang juga gelombang pendaki made instanstory,
5,Corona Virus Say hallo,Indonesia
6,Nambara neza agapfukamunwa ntabe ari njye wandura cyangwa wanduza Corona virus NtabeAriNjye,
7,postponegujcet2020 in situation during corona virus,492 Varsha soc-2 surat-6 
8,corona virus ki waja say,
9,Dan virus Corona tertawa bahagia melihat mereka seperti itu,"Batang, Jawa Tengah"
10,Jangankan virus corona Virus garuda aja ak makan apalgh yg rasa abon xixixixi,— fan account ࿐
11,Personil polsek Ceper melaksanakan patroli pengecekan suhu dipasar ngebek pencegahan penyebaran virus corona,
12,TAPI BUKAN VIRUS CORONA,wonderland –
13,virus corona kan ga keliatan ajig,wonderland –
14,yg dipipi apaan njirrr kek virus corona,pluto
15,Saya berharap virus corona cepat hilang amin begitupun kelompok nya said didu,
16,Geng2 wartawan ni kebal ke eh terhadap Corona Virus,"Kedah,Malaysia,Earth"
17,Tnpa sadar sudah setengah tahun di jajah corona Emang bngsat ini virus,"Purwokerto Timur, Indonesia"
18,bayaran demo cm 150rb sj gk sepadan klo kena virus corona mending nonton drakor,
19,Corona virus tersenyum melihat ini,sebelah taman Eden 
20,jurus pendekar mabok dipakai sampai2 ikut cari virus corona James Bond pasti ketawa,"Jakarta, Indonesia"
21,kekalahan barcelona melawan bayer ibarat virus corona yg cepet menyebar,New 👇🏻
22,Semoga tanggal 17 Agustus Besok Indonesia Merdeka Dengan Virus Corona,"Jawa Timur, Indonesia"
23,Update Minggu 16 Agustus 2020 sebaran dan perkembangan virus corona COVID 19 di wilayah Kalimantan Tengah,"Palangka Raya, Indonesia"
24,Oh iya ya virus mah vaksin Berarti obat corona itu vaksin,labtek8
25,SMELL LIKE CORONA VIRUS IN HEEYA,"Earth, Dimension C-137"
26,Ada sebagian Orang yang takut virus corona tapi ngewe sana sini ga pake balon Masuk akal,
27,Hmm menarik juga mainan kids masa pandemi Kid 1 tepuk Kid 2 Aku jadi virus Corona All other kids LARIIII masuk rumah semua,Indonesia
28,corona virus says hi bitj new cluster tho,"Yogyakarta, Indonesia"
29,Mencuci Tangan menjadi Hal Penting untuk Memerangi Virus Corona Kaili bidhumaspoldasulteng,"Tolitoli, Sulawesi Tengah"
30,Corona Virus Song,"Dhaka, Bangladesh"
31,But corona virus,
32,Virus corona hilang Semua kembali normal AMIN PALING SERIUS,
33,MKS Asli jdi bisa cerita sma anakny nti jdi dlu itu bpk sma mama mu nikah pas ada virus corona melanda dunia,Florian Triangle
34,Logon ka ignorant behaviour dekh kar toh corona virus ko bhi existential crises ho rahe hongey COVID19India COVID COVIDIOT NewNormal,India
35,Apa sih Bisnis Travel Online itu Corona Virus Tak Goyahkan Bisnis Pariwisata PT Panorama Berempat bisnis bisnistravel bisnistraveling,
36,Corona Virus city,"Gujarat, India"
37,Virus corona itu bisa muncak nggak sih,
38,Aktifitas masyarakat tetap dijalankan di tengah virus Corona yang melanda Namun protokol kesehatan tak boleh terlupakan,Lampung
39,Skrg banyak yg berlomba lomba paling dluan buat ngeklaim penemuan vaksin obat virus corona,
40,Rajin cuci tangan demi hindari terjangkit virus corona PolriSeruhkanCuciTangan,"East Nusa Tenggara, Indonesia"
41,Biasakan mencuci tangan cegah penyebaran Virus Corona Covid 19,
42,Corona ka c hata kar apny naam ka pahla word likho daikhty Hain kon sa virus banta ha Mine Norona coronavirus,"Lahore, Pakistan"
43,Lomba jaga lingkungan sekitar supaya tetap terhindar dari virus corona BukaKuisLomba,
44,Di afrika makan monyet timbul virus EBOLA China makan kelawar timbul virus CORONA Malaysia makan kawan esoknya di SANTAU WHY,Malaysia
45,Tu Hita Sude Anso Sering mambasuh tangan anso terhindar ngen Virus Corona,
46,Robert Trump corona Virus,Queensland
47,Jago keselamatan kito dan keluarga kito dari virus corona dengan rajin basuh tangan pakke sabun,Indonesia
48,Beta hita manucci tangan pake sabun asa unang hona sian sahit virus corona,Indonesia
49,Info MAKASSAR hati2 mamiki jgn lupa bawa turun sampahnya tp jgn bawa turun Virus corona,
50,Terusake Gunakake Masker Nalika kegiatan Ing Djaba Omah Kanggo Kesehatan Umum kita Ayo klawan Virus Corona Bareng,
51,ternyata virus halu lebih kejam dari corona,𝗻𝘀𝗮
52,Mari mahita mancuci tangan pala kaluar bagas anso tarhindar sian virus corona,Indonesia
53,Agar SSR Bollywood Nepotism hota yeh Sawal aap nahi poochta Corona virus chal raha hai mask pahanay hua hai kaisa bolagay,
54,Oda kita bettoh ise i antara kita simerembah virus corona kita terus menuci tangan,Indonesia
55,Buat bunuh virus corona,Indonesia
56,Mask lagunu jaruri sahi tarika Na lagayera direct atack covid 19 Corona virus m d MOHAMMAD Ali nepal,
57,memanggil corona virus untuk segera menginfeksi mereka tenaga medis gausah ada yg bantuin mereka ya ntar nyusahin,unknown
58,Ayo pakai masker Cegah penyebaran Virus Corona AdaptasiKebiasaanBaru,
59,3 Jenis masker ini disebut tak efektif cegah penularan virus corona,
60,Kbr duka datang kembali dari tenaga medis ditengah nangani virus corona,
61,kornaya Corona virus,"Srinagar, India"
62,Yuk biasakan cuci tangan dengan baik dan benar untuk mencegah penularan virus corona Covid19 LawanCorona KotaSolo,"Surakarta, Jawa Tengah"
63,Ukiona daktari anasema ati anataka kukuweka kidole kwa mkundu apime Corona virus usikubali Najihisi mjinga sana kwa sasa,South Sudan 
64,Nggak kena virus Corona aja belum tercapai 5 5 atau paling mentoknya padahal targetnya 7 sebelum nya 9 8 terus janji janji aja,
65,Setiap saat mari kita budayakan mencuci tangan dengan sabun di air mengalir semoga kita terhindar dari virus Corona,Bulukumba sulawesi selatan
66,Virus corona akan ditertibkan,Jakarta - Depok
67,ktemu uhuk uhuk teh naon eta ketemu virus corona,instagram @ibnusa.bill
68,Tapi kalo ben beneran wamil wamil nya ngak bakalan lama ngak sampe 2 tahun maksudnya gara2 virus corona,In My World
69,pencegahan penularan virus corona terbaik masih dirumahaja baru selalupakemasker ama jagajarak,Indonesia
70,Tetanggaku dengan bangga bercerita bahwa dia tidak percaya adanya virus corona Hmm baiglah,"Yogyakarta, Indonesia"
71,Disini bebas mamah gk ada corona gk ada virus,
72,Tumaradu koum sisolkot Taparinggas ma mamasu tangan Anso terhindar hita sian Virus Corona,
73,Tenaga medis dari Makasar Sulawesi Selatan meninggal dunia akibat terinfeksi Virus Corona,
74,3 jenis masker yang tidak efektif cegah penularan virus Corona,
75,kaya scodelario corona virus,
76,3 Jenis Masker Ini Disebut Tak Efektif Cegah Penularan Virus Corona,"Kutowinangun, Indonesia"
77,ossas Super spreader tu host yg bawa super bugs corona virus yg dh mutated tu,Malaysia
78,Pokiman poopbutt compilation 6k 5g corona virus vizio hd tv,penis poop bruh
79,Supaya benar benar bersih dari Corona Virus Disease 19 negara di seluruh dunia harus diformat HUTRIKE75 PakaiMasker,Indonesia
80,vuga umubare wabanduye corona virus muri Angola,
81,3 Jenis Masker Ini Disebut Tak Efektif Cegah Penularan Virus Corona PutusPenyebaranCovid19 HumasPolresKebumen,
82,Seorang Dokter Meninggal Dunia Akibat Virus Corona,
83,Terlepas dari konspirasi atau apalah itu corona virus tetaplah wabah yg berbahaya bisa menyerang kesehatan kita,Rembang-Central Java
84,3 Jenis Masker ini yang tidak efektif Cegah Penularan Virus Corona,
85,Video seorang kakek yang mengaku dapat membasmi virus Corona atau COVID 19 ramai diperbincangkan di media sosial Kuningan,JAKARTA
86,Yg masih menyepelekan virus corona ini tlg dong sadar udah berapa lama dan mau berapa lama lagi kita gini this isn t a joke frrr,btsland
87,Batir Aja Kelalen Cuci tangan ya men ora ketempelan virus Corona,
88,Blague Corona Virus Covid 19 Russia vs USA,Haiti
89,Sb esy hi kehty,"Torrijo de la Cañada, España"
90,Sekali merdeka tetap merdeka mari kita bersama sama bersatu memerangi wabah virus corona dan bangkit dari krisis ekonomi,Nusantara
91,Ta kebai dgn virus corona tu jika na my nyesai ta guna,perai
92,Waspada virus Corona Bahaya covid19,
93,Penyemprotan Antiseptic pencegahan Virus Corona Covid 19 di Mako Polsek Tiga Juhar,
94,Rusia sudah mendaftarkan vaksin virus Corona apakah kita harus beli juga seperti punya Sinovac,Surabaya
95,Stop Virus Corona dengan jaga kebersihan tangan AyoBiasakanCuciTangan,
96,Cuci Tangan stoppenyebaran Virus Corona,
97,Stop Corona Virus Wajib Pakai Masker,
98,Semoga Indonesia makin sukses dan dibebaskan dari virus Corona Amin,"Magelang, Jawa Tengah"
99,Yuk mari kita tiru apa yang sudah TP PKK lakukan agar penyebaran virus corona dapat di hentikan GebrakMasker,
100,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,
101,Patut di contoh nih apa yang di anjurkan pak Jokowi membagikan masker buat melawam virus corona GebrakMasker,Indonesia
102,Jateng merdeka dari wabah pandemi virus corona kebodohan dan kemiskinan merdeka,"Banjarmasin, Indonesia"
