,tweet,asal_tweet
0,Presiden Joko Widodo (Jokowi) mengatakan pandemi virus corona (Covid-19) membuat pemerintah melakukan reformasi di berbagai sektor.,"Malang, Jawa Timur"
1,"Lalu, pada tahun 2012 kembali terjadi epidemi dari virus corona jenis baru yakni MERS-CoV.","Malang, Jawa Timur"
2,"Seperti, pandemi SARS pada tahun 2003 lalu yang diakibatkan oleh munculnya virus corona SARS-CoV.","Malang, Jawa Timur"
3,"Sebab, kontribusi masyarakat untuk menjaga kesehatan sangat diperlukan untuk memberantas virus corona di Indonesia.","Malang, Jawa Timur"
4,Salah satunya karena dikhawatirkan jenazah tersebut masih dapat menularkan virus Corona.,"Malang, Jawa Timur"
5,Pemerintah akan memperluas program bantuan sosial sebagai langkah penanganan dampak virus corona.,"Malang, Jawa Timur"
6,"""Virus corona itu suka ngebunuh ... sulit dibunuh""❗❗",Malang
7,Kopian sudimoro memang 💥 nggak kenal covid ckck,"East Java, Indonesia"
8,"ww3,bencana alam, covid, rasisme, annabelle lalu apa lagi 😭 2020 becanda nya g lucu ya 😿","Kota Malang, Jawa Timur"
9,"Oalaah, Barca v Munchen kmaren itu laga amal covid toh ternyata wkwkwk ~","Malang, Jawa Timur"
10,@nengbiker Covid bersuka ria,"Kota Malang, Jawa Timur"
11,Dukung perangai covid aja dulu#KAMItunggangiPandemi,MALANG EAST JAVA
12,"@AnggikPrasetyaa Oiya gaboleh, harus yg baik baik. Semoga covid hilang agar bisa nongki blakang umm","Malang, Jawa Timur"
13,@AnggikPrasetyaa Tiati kena covid,"Malang, Jawa Timur"
14,"""di tp lagi banyak diskon dek""
""Yuk cus sby, kangen nge mall berat""
""Covid""
""Oh oke..................""","Malang, Jawa Timur"
15,"@e100ss mohon info, sekarang kalo mau masuk surabaya apakah ada pemeriksaan khusus terkait covid? nuwun",Malang 
16,"Di stasiun Malang ada fasilitas buat rapid test covid ga ya? Ada yg tau?
Info dong","Malang, Jawa Timur"
17,Kek gini ya paceklik covid,Malang 
18,"haduuu kok onok ae. Annabelle escape barang ati2 kon tertular covid bel bel, ws bener nde musem pdhl https://t.co/x5ukkUFkzo","Malang, Jawa Timur"
19,@paluphy_retno @AstriPuji2 Lup lup lah buat cinta cintaku ini @AstriPuji2 @paluphy_retno . Aku tunggu di Malang kalo covid udah reda 😘,"Malang, Jawa Timur, Indonesia"
20,@ekalailaaa Ga tau ga tau pusing karna covid astagfirullah,"Malang, Jawa Timur"
21,"@bryan_prakoso Iya mas, hari ini tadi pagi. Iya mas covid. Beliau ada riwayat penyakit lain juga..","Malang, Jawa Timur, Indonesia"
22,"@indra_alvhin gabisa kesana aku di daerahku ada yang kena covid, jadi ikut isolasi diri dulu. 
ini fitria mau kesana juga. mau barengan ga?","Malang, Jawa Timur"
23,"@ligaaaraprillia ning pandean onok sing kenek covid e Gar, male isolasi diri pisan aku wedi nulari wong.","Malang, Jawa Timur"
24,@Sbrdong Sabar ini ujian covid 19 wkwk,"Kota Malang, Jawa Timur"
25,"@ngalamfess maaf ya, aku fokus ujian dulu. 
Lulus jalur covid ae ngomong ujian.","Malang, Jawa Timur"
26,Covid berdampak sekali pada tukang soto perbatasan gkb,Malang
27,memanfaatkan moment covid untuk mengumpulkan modal &amp; melatih fokus target harian.,"Malang, East Java"
28,"Apa bener maem telur aja udah bisa mencegah covid-19? Ayo baca penjelasan diatas, ayo lebih kritis lagi dalam menyikapi informasi.","Malang, Jawa Timur"
29,#HansolxDita #SBMPTN #SBMPTN2020 #kuotagratis #Covid_19 #,Malang
30,"Lagi-lagi ada yg positif. 
Kmrn² sok-sok an covid dah hilang, dan sekarang.
Tambeng amat diberitahu",Malang
31,Hbs liat grup grup di wa. Seketika sedi gitu liat project-an yg tertunda karena covid 😢,"Malang, Jawa Timur"
32,"@Legionnairen @kebaltirani Gara gara aku salah juga kok, ga sepenuhnya karna covid","Kota Malang, Jawa Timur"
33,@saracreate Iya kak nanti kalo covid uda kelar ketemuan yuk kak 🙈,"Malang, East Java, Indonesia"
34,sebentar lagi akan muncul klaster baru: covid klaster wisuda 102.,Malang
35,Presiden Joko Widodo menegaskan reformasi fundamental di sektor kesehatan harus dipercepat merespon pandemi Covid-19 yang terjadi saat ini.,"Malang, Jawa Timur"
36,Presiden Joko Widodo (Jokowi) mengatakan pandemi virus corona (Covid-19) membuat pemerintah melakukan reformasi di berbagai sektor.,"Malang, Jawa Timur"
37,"Neni mengatakan, persoalan kesehatan atas Covid-19 bukanlah suatu hal yang baru terjadi di masyarakat global.","Malang, Jawa Timur"
38,"""Pandemi Covid-19 bukanlah suatu konspirasi. Jadi, kita lihat kejadian pandemi epidemi itu terus berulang, sehingga kita harus siap.","Malang, Jawa Timur"
39,"Ahli Bantah Pandemi Covid-19 Sebagai Konspirasi

#IndonesiaMaju
#BangkitIndonesiaMaju
#PidatoPresiden2020 https://t.co/1eY4MCrlch","Malang, Jawa Timur"
40,Mekanisme Silence procedure merupakan mekanisme yang digunakan oleh PBB selama pandemi Covid-19.,"Malang, Jawa Timur"
41,Presiden Joko Widodo mengapresiasi kinerja Badan Pemeriksa Keuangan (BPK) di tengah pandemi Covid-19.,"Malang, Jawa Timur"
42,"Jokowi Apresiasi Kinerja BPK di Tengah Pandemi Covid-19

#IndonesiaMaju
#BangkitIndonesiaMaju
#PidatoPresiden2020 https://t.co/Tb5ZepfqXR","Malang, Jawa Timur"
43,"Sementara dalam menangani krisis ekonomi, pemerintah memberikan bantuan sosial (bansos) kepada masyarakat yang terdampak pandemi Covid-19.","Malang, Jawa Timur"
44,@HumasResma Ayo bersatu lawan Covid 19,"Malang, Jawa Timur"
45,Masih adakah yang anggap covid itu hanya rekayasa atau konpirasi aja? . Semoga vaksin segera ter realisasi https://t.co/kdo5wlkxzc,"Malang, Jawa Timur"
46,@trikartikass Tapi negativ covid aku tik 🤪,malang
47,Sebenar nya dengan momentum Covid ini pelayanan pelayanan bisa dibuat non tatap muka (online),Malang
48,"@Muh_Hilmiii Alhamdulilah sehat, gimana nanganin covid juga ga?","Malang, Jawa Timur"
49,Sampe kapan sih mikir kalau kena covid semacam kutukan . Kalau ada korban ya jgn di Bully dong :),"Malang, Jawa Timur"
50,Emang kalau ada yg kena covid 19 Kita jadi musahan terus gabisa berteman?,"Malang, Jawa Timur"
51,Masih aja ada manusia yg g percara covid. Aku udah ga berani kemana mana lho ini cuk!,"Malang, East Java, Indonesia"
52,Namun hingga kini RUU Omnibus Law Cipta Kerja masih saja tetap dimasukkan dalam Prolegnas Senayan dan bahkan ditengah Pandemi Covid-19.,Malang
53,27 orang positif covid-19 di kantor pengadilan agama surabaya 😭 semoga mama gpp 😭,"Malang, Jawa Timur"
54,"Cepat berakhir, covid. Ku butuh liburan :) https://t.co/u9szmLim86",
55,Bersama kita bisa perangi Covid-19!  #BUMNPerangiCovid,"Malang, Jawa Timur"
56,@nirmaaaaa Sakdurunge covid 25 opo 30 yo lali aku,"Malang, Jawa Timur"
57,@MhmdFakhri_ @ArditErwandha yeee garagara covid ini jadi moooondor semoa wkwkwkwk,Malang
58,"Brang pd blm dtg kendala covid shit mana pada komplen-,-","Malang , Jawa Timur"
59,"Polanya sama, seperti tahun lalu. Bedanya tahun ini ada covid, tahun lalu ada km :’)",Madiun - Malang
60,Patas malang - sby tarif covid 50.000 tapi kapasitas penumpang full hehehehe,"Malang, Jawa Timur"
61,@TirtoID Siap menunggu hasil penanganan covid-19 oleh bapak Luhut tersayang~,"Malang, Jawa Timur"
62,"Ya allah mari due majikan fanatik covid, sak iki due majikan fanatik konspirasi wkwk","Malang, Jawa Timur"
63,"Kalo sampe JRXSID udah dipenjara terus angka Covid-19 masih naek siapa yang harus bertanggung jawab???
#BebaskanJRXSID 
🤘","Malang, Jawa Timur"
64,"@masinispesawat iyo pak, ga balek sby a koen? al hikam wes akeh covid lho","Malang, Indonesia"
65,ben onok wong mati messti dikiro covid oalah buk buk🤣,"Malang, Jawa Timur"
66,Jokowi mengatakan pemerintah juga telah memberikan sejumlah bantuan kepada masyarakat di tengah pandemi Covid-19.,"Malang, Jawa Timur"
67,"Politikus PDIP: Pemprov DKI Terlihat Tidak Mampu Membuat Kebijakan Mengatasi Covid-19

#17agustussudahdekat https://t.co/569lUIE2RS","Malang, Jawa Timur"
68,Kementerian Perdagangan mengungkapkan adanya kabar baik di tengah pandemi Covid-19 yang telah memukul perekonomian global.,"Malang, Jawa Timur"
